Lev.YearMonth;HÑmtstÑlle;HÑmtstÑlle Gatuadress;HÑmtstÑlle Ort;HÑmtstÑlle MÑrkning;Artikel;RODkod;RodKodbeskr;EWCkod;Farligt avfall;Kvantitet kg
202301;0178855      Volvo Personvagnar AB (Gîteborg);Gunnar Engellaus vÑg;Gîteborg;VAK, kundnr: 0178855;3610 TrÑpallar;-1;-1 N/A;-1;NEJ;150
202301;03879145    Volvo Personvagnar AB (Gîteborg);John Bunyans vÑg 4;Gîteborg;PV Byggnad PVôL;4215 Reklamation Papper;-1;-1 N/A;-1;NEJ;2 500
202301;05358114    Volvo Personvagnar AB (Gîteborg);Assar Gabrielssons vÑg;Gîteborg;Byggnad RB;3283 FTI Plastfîrp, FNI;R3;R3 Recycled, incl metal scrap;150102;NEJ;45
202301;05684634    Volvo Personvagnar AB (Gîteborg);Rîra byvÑg, hus 20;Gîteborg;PV35 Complete HIL;3163 Plast, Bygg och rivning;D1;D1 Landfill;170203;NEJ;100
202301;05250022    Volvo Personvagnar AB (Gîteborg);Parkering PVBL;Gîteborg;Batlab Steg 3;3365 PCB-avfall fast, fritt fr. asbest;D10;D10 Without energy recovery;170902;JA;35
202301;0283077      Volvo Personvagnar AB (Gîteborg);PVRS Riskskjul Dîda dalen;Gîteborg;PV Styckegods Farligt Avfall;3503 BlÑstersand;D1;D1 Landfill;120116;JA;52
202301;05249420    Volvo Personvagnar AB (Gîteborg);PV-gatan Batlabs etablering vid PV17;Gîteborg;PV Sprinkler;3506 Asbest, bunden;D1;D1 Landfill;170605;JA;50
202301;05250022    Volvo Personvagnar AB (Gîteborg);Parkering PVBL;Gîteborg;Batlab Steg 3;3663 Isolering ej Ütervinningsbar;D1;D1 Landfill;170604;NEJ;650
202301;05190673    Volvo Personvagnar AB (Gîteborg);Rîra ByvÑg;Gîteborg;CWT2;3663 Isolering ej Ütervinningsbar;D1;D1 Landfill;170604;NEJ;100
202301;0468793      Volvo Personvagnar AB (Gîteborg);VAK / Gunnar Engellaus vÑg 8;Gîteborg;The Melting Pot och The Bikery;3904 Verksamhetsavfall till deponi;D1;D1 Landfill;191209;NEJ;10
202301;0476374      Volvo Personvagnar AB (Gîteborg);N/A;Gîteborg;PVS Design, kundnr: 0476374;3916 Avfall till deponi, bygg & riv;D1;D1 Landfill;170904;NEJ;3 280
202301;0447201      Volvo Personvagnar AB (Gîteborg);TunnelvÑgen, G5 FîrrÜd 101;Gîteborg;PV èV GèRD, kundnr: 0447201;3916 Avfall till deponi, bygg & riv;D1;D1 Landfill;170904;NEJ;480
202301;0447201      Volvo Personvagnar AB (Gîteborg);TunnelvÑgen, G5 FîrrÜd 101;Gîteborg;PV èV GèRD, kundnr: 0447201;3931 Aerosoler;D10;D10 Without energy recovery;160504;JA;79
202301;0283077      Volvo Personvagnar AB (Gîteborg);PVRS Riskskjul Dîda dalen;Gîteborg;PV Styckegods Farligt Avfall;3030 Bensin;R1;R1 With energy recovery;130702;JA;293
202301;05628151    Volvo Personvagnar AB (Gîteborg);AmazonvÑgen;Gîteborg;VHK;3094 HushÜllsavfall,utsorterat;R1;R1 With energy recovery;200301;NEJ;370
202301;0185512      Volvo Personvagnar AB (Gîteborg);Gunnar Engellaus;Gîteborg;Rest. Emma, kundnr: 0185512;3094 HushÜllsavfall,utsorterat;R1;R1 With energy recovery;200301;NEJ;420
202301;0468777      Volvo Personvagnar AB (Gîteborg);Gustaf Larssons vÑg;Gîteborg;Rest. Hive Food Market kundnr: 0468777;3094 HushÜllsavfall,utsorterat;R1;R1 With energy recovery;200301;NEJ;4 780
202301;03879145    Volvo Personvagnar AB (Gîteborg);John Bunyans vÑg 4;Gîteborg;PV Byggnad PVôL;3094 HushÜllsavfall,utsorterat;R1;R1 With energy recovery;200301;NEJ;50
202301;05190673    Volvo Personvagnar AB (Gîteborg);Rîra ByvÑg;Gîteborg;CWT2;3094 HushÜllsavfall,utsorterat;R1;R1 With energy recovery;200301;NEJ;600
202301;05642202    Volvo Personvagnar AB (Gîteborg);UtrustningsvÑgen;Gîteborg;WPO TUN;3094 HushÜllsavfall,utsorterat;R1;R1 With energy recovery;200301;NEJ;50
202301;0469544      Volvo Personvagnar AB (Gîteborg);VCI;Gîteborg;VCI, kundnr: 0469544;3094 HushÜllsavfall,utsorterat;R1;R1 With energy recovery;200301;NEJ;300
202301;0178863      Volvo Personvagnar AB (Gîteborg);Volvo Jakobs vÑg;Gîteborg;PVH, kundnr: 0178863;3094 HushÜllsavfall,utsorterat;R1;R1 With energy recovery;200301;NEJ;1 850
