Lev.YearMonth;Hämtställe;Hämtställe Gatuadress;Hämtställe Ort;Hämtställe Märkning;Artikel;RODkod;RodKodbeskr;EWCkod;Farligt avfall;Kvantitet kg
202301;0178855      Volvo Personvagnar AB (Göteborg);Gunnar Engellaus väg;Göteborg;VAK, kundnr: 0178855;3610 Träpallar;-1;-1 N/A;-1;NEJ;150
202301;03879145    Volvo Personvagnar AB (Göteborg);John Bunyans väg 4;Göteborg;PV Byggnad PVÖL;4215 Reklamation Papper;-1;-1 N/A;-1;NEJ;2 500
202301;05358114    Volvo Personvagnar AB (Göteborg);Assar Gabrielssons väg;Göteborg;Byggnad RB;3283 FTI Plastförp, FNI;R3;R3 Recycled, incl metal scrap;150102;NEJ;45
202301;05684634    Volvo Personvagnar AB (Göteborg);Röra byväg, hus 20;Göteborg;PV35 Complete HIL;3163 Plast, Bygg och rivning;D1;D1 Landfill;170203;NEJ;100
202301;05250022    Volvo Personvagnar AB (Göteborg);Parkering PVBL;Göteborg;Batlab Steg 3;3365 PCB-avfall fast, fritt fr. asbest;D10;D10 Without energy recovery;170902;JA;35
202301;0283077      Volvo Personvagnar AB (Göteborg);PVRS Riskskjul Döda dalen;Göteborg;PV Styckegods Farligt Avfall;3503 Blästersand;D1;D1 Landfill;120116;JA;52
202301;05249420    Volvo Personvagnar AB (Göteborg);PV-gatan Batlabs etablering vid PV17;Göteborg;PV Sprinkler;3506 Asbest, bunden;D1;D1 Landfill;170605;JA;50
202301;05250022    Volvo Personvagnar AB (Göteborg);Parkering PVBL;Göteborg;Batlab Steg 3;3663 Isolering ej återvinningsbar;D1;D1 Landfill;170604;NEJ;650
202301;05190673    Volvo Personvagnar AB (Göteborg);Röra Byväg;Göteborg;CWT2;3663 Isolering ej återvinningsbar;D1;D1 Landfill;170604;NEJ;100
202301;0468793      Volvo Personvagnar AB (Göteborg);VAK / Gunnar Engellaus väg 8;Göteborg;The Melting Pot och The Bikery;3904 Verksamhetsavfall till deponi;D1;D1 Landfill;191209;NEJ;10
202301;0476374      Volvo Personvagnar AB (Göteborg);N/A;Göteborg;PVS Design, kundnr: 0476374;3916 Avfall till deponi, bygg & riv;D1;D1 Landfill;170904;NEJ;3 280
202301;0447201      Volvo Personvagnar AB (Göteborg);Tunnelvägen, G5 Förråd 101;Göteborg;PV ÅV GÅRD, kundnr: 0447201;3916 Avfall till deponi, bygg & riv;D1;D1 Landfill;170904;NEJ;480
202301;0447201      Volvo Personvagnar AB (Göteborg);Tunnelvägen, G5 Förråd 101;Göteborg;PV ÅV GÅRD, kundnr: 0447201;3931 Aerosoler;D10;D10 Without energy recovery;160504;JA;79
202301;0283077      Volvo Personvagnar AB (Göteborg);PVRS Riskskjul Döda dalen;Göteborg;PV Styckegods Farligt Avfall;3030 Bensin;R1;R1 With energy recovery;130702;JA;293
202301;05628151    Volvo Personvagnar AB (Göteborg);Amazonvägen;Göteborg;VHK;3094 Hushållsavfall,utsorterat;R1;R1 With energy recovery;200301;NEJ;370
202301;0185512      Volvo Personvagnar AB (Göteborg);Gunnar Engellaus;Göteborg;Rest. Emma, kundnr: 0185512;3094 Hushållsavfall,utsorterat;R1;R1 With energy recovery;200301;NEJ;420
202301;0468777      Volvo Personvagnar AB (Göteborg);Gustaf Larssons väg;Göteborg;Rest. Hive Food Market kundnr: 0468777;3094 Hushållsavfall,utsorterat;R1;R1 With energy recovery;200301;NEJ;4 780
202301;03879145    Volvo Personvagnar AB (Göteborg);John Bunyans väg 4;Göteborg;PV Byggnad PVÖL;3094 Hushållsavfall,utsorterat;R1;R1 With energy recovery;200301;NEJ;50
202301;05190673    Volvo Personvagnar AB (Göteborg);Röra Byväg;Göteborg;CWT2;3094 Hushållsavfall,utsorterat;R1;R1 With energy recovery;200301;NEJ;600
202301;05642202    Volvo Personvagnar AB (Göteborg);Utrustningsvägen;Göteborg;WPO TUN;3094 Hushållsavfall,utsorterat;R1;R1 With energy recovery;200301;NEJ;50
202301;0469544      Volvo Personvagnar AB (Göteborg);VCI;Göteborg;VCI, kundnr: 0469544;3094 Hushållsavfall,utsorterat;R1;R1 With energy recovery;200301;NEJ;300
